"NC Code","Brand Name","Total Available","Size","Cases Per Pallet","Supplier","Supplier Allotment","Broker Name",
="00009","John J. Bowman Single Barrel 10Y","6",".75L","204","Sazerac Co.","204","Rick Henry",
="00026","Wyoming Whiskey Small Batch","90",".75L","120","Edrington Americas","0","Lauren Wiseman",
="00105","Templeton 10Y Reserve","0",".75L","100","Infinium Spirits","0","Lauren Wiseman",
="00111","Jack Daniel's Sinatra","0","1.00L","36","Brown - Forman","36","Lauren Wiseman",
="00119","Redbreast 15Y","95",".75L","100","Pernod Ricard USA","100","Jack Wooten",
="00120","Jack Daniel's No. 27 Gold","0",".75L","88","Brown - Forman","88","Lauren Wiseman",
="00124","WhistlePig 15Y","0",".75L","180","WhistlePig","180","Jason Lemansky",
="00126","Midleton Very Rare Irish","0",".75L","80","Pernod Ricard USA","80","Jack Wooten",
="00131","Smooth Ambler Old Scout Bourbon","98",".75L","96","Pernod Ricard USA","96","Jack Wooten",
="00137","Hatozaki Small Batch Japanese Whisky","201",".75L","240","Marussia Beverages USA","240","Lauren Wiseman",
="00139","Yamato Special Edition","144",".75L","144","Aiko Importers, Inc","144","Jeffrey A. Morse, Jr.",
="00140","Nobushi Japanese Whisky","26",".75L","63","Park St Imp/ Trinity Beverage","1","Curtis Toth",
="00202","Ardbeg Corryvreckan","0",".75L","200","Moet Hennessy","100","Garrett Miller",
="00203","Ardbeg Uigeadail","0",".75L","200","Moet Hennessy","100","Garrett Miller",
="00204","The Macallan Double Cask 18Y","0",".75L","60","Edrington Americas","60","Lauren Wiseman",
="00209","Glenmorangie Signet S.M.","54",".75L","256","Moet Hennessy","64","Garrett Miller",
="00211","Glenmorangie Non Age Nectar D'Or","0",".75L","80","Moet Hennessy","80","Garrett Miller",
="00214","Highland Park 18Y","0",".75L","168","Edrington Americas","84","Lauren Wiseman",
="00215","GlenDronach 12Y S.M.","0",".75L","100","Brown - Forman","100","Lauren Wiseman",
="00217","Auchentoshan Three Wood","137",".75L","110","Beam Suntory","110","Bill York",
="00218","Bruichladdich Port Charlotte 10Y","72",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00219","Bruichladdich Classic Laddie Scottish Barley","0",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00221","Ben Riach 10Y","51",".75L","100","Brown - Forman","100","Lauren Wiseman",
="00222","Bruichladdich Islay Barley","32",".75L","75","Remy Cointreau USA","75","Lauren Wiseman",
="00225","The Macallan Rare Cask","0",".75L","48","Edrington Americas","48","Lauren Wiseman",
="00226","Aberlour A'Bunadh","44",".75L","52","Pernod Ricard USA","52","Jack Wooten",
="00227","The Dalmore 15Y","136",".75L","75","E & J Gallo Winery","75","Donavan Campbell",
="00229","The Dalmore Port Wood Reserve","235",".75L","48","E & J Gallo Winery","48","Donavan Campbell",
="00231","The Dalmore Cigar Malt Reserve","536",".75L","48","E & J Gallo Winery","48","Donavan Campbell",
="00237","GlenDronach 15Y Revival","0",".75L","100","Brown - Forman","50","Lauren Wiseman",
="00411","Hangar One Straight","127",".75L","56","WI, Inc","56","Lauren Wiseman",
="00659","D'Usse XO Cognac","0",".75L","25","Bacardi USA","30","Barry Sessoms",
="00668","Remy Martin Tercet","172",".75L","70","Remy Cointreau USA","0","Lauren Wiseman",
="00703","Grand Marnier 100Y","83",".75L","60","Campari America","60","Barry Sessoms",
="00707","Agavero Orange Tequila Liqueur","10",".75L","39","WI, Inc","64","Lauren Wiseman",
="00710","Cynar","0","1.00L","44","Campari America","44","Barry Sessoms",
="00806","Santo Fino Reposado","81",".75L","152","Shaw-Ross International","152","Barry Sessoms",
="00807","Adictivo Extra Anejo","53",".75L","156","Marsalle/Stoller Imports","156","Jeffrey A. Morse, Jr.",
="00810","Jose Cuervo Reserva de Familia","1",".75L","100","Proximo Spirits","100","Lauren Wiseman",
="00820","Mezcal Vago Elote","111",".75L","40","Heaven Hill","40","Nick Pourasef",
="00823","Patron Reposado","0","1.75L","56","Bacardi USA","112","Barry Sessoms",
="00824","Patron Anejo","0","1.75L","56","Bacardi USA","112","Barry Sessoms",
="00825","Los Vecinos Mezcal","93",".75L","112","Sazerac Co.","112","Rick Henry",
="00827","Casa Dragones 16 Joven Tequila","16",".75L","96","MHW/ Casa Dragones","96","Bill York",
="00832","Azteca Azul Plata","11",".75L","120","Global Beverage Team LLC","0","Donavan Campbell",
="19318","Stagg Single Barrel Select (BTB)","0",".75L","100","Sazerac Co.","0","Rick Henry",
="19323","Barrell Craft Gray Label Seagrass","0",".75L","80","MHW/ Barrell Craft","0","Barry Sessoms",
="19324","Barrell Craft Gold Label Bourbon","0",".75L","80","MHW/ Barrell Craft","0","Barry Sessoms",
="19325","Royal Lochnagar 16YR","0",".75L","80","Diageo NA","0","Garrett Miller",
="19326","Talisker 8YR","0",".75L","80","Diageo NA","0","Garrett Miller",
="19327","Singleton of Glendullan 19YR","0",".75L","72","Diageo NA","0","Garrett Miller",
="19328","Oban 12YR","0",".75L","80","Diageo NA","0","Garrett Miller",
="19329","Mortlach 13YR","0",".75L","96","Diageo NA","0","Garrett Miller",
="19330","Lagavulin 26YR","0",".75L","48","Diageo NA","0","Garrett Miller",
="19331","Lagavulin 12Y","0",".75L","80","Diageo NA","0","Garrett Miller",
="19332","Cardhu 14YR","0",".75L","80","Diageo NA","0","Garrett Miller",
="19334","Clase Azul Gold","0",".75L","56","Tequilas Premium","0","Barry Sessoms",
="19335","Capt. Morgan Orig Spiced Rum W/ NFL Ice Mold","3","1.75L","40","Diageo NA","0","Garrett Miller",
="19340","Michter's Sour Mash Whiskey","0",".75L","120","Chatham Imports","0","Nick Pourasef",
="19341","Hibiki Harmony Ryusui-Hyakka Tribute LTO","0",".75L","90","Beam Suntory","0","Bill York",
="19345","Teeling Pot Still","0",".75L","100","Bacardi USA","0","Barry Sessoms",
="19346","Stillhouse Black Bourbon Daytona 500- Limited Ed","65",".75L","78","Bacardi USA","0","Barry Sessoms",
="19347","Van Gogh Double Espresso","0","50ML","55","MHW/ Conecuh Ridge","0","Donavan Campbell",
="19348","Blackened American Whiskey","1",".375L","85","MHW/ Sweet Amber Ventures","0","Nick Pourasef",
="19349","Jameson Orange","418","50ML","54","Pernod Ricard USA","0","Jack Wooten",
="19351","Jefferson's Rye Cognac Single Barrel (BTB)","0",".75L","36","Pernod Ricard USA","0","Jack Wooten",
="19353","Foursquare Indelible","0",".75L","80","Altamar Brands LLC","0","Nick Pourasef",
="19356","Pusser's British Navy 1L","55","1.00L","55","Shaw-Ross International","0","Barry Sessoms",
="19358","Widow Jane Lucky 13 Small Batch Bourbon","0",".75L","100","Heaven Hill","0","Nick Pourasef",
="19359","Widow Jane Decadence","0",".75L","100","Heaven Hill","0","Nick Pourasef",
="19360","Orphan Barrel - Muckety Muck 25Y","0",".75L","100","Diageo NA","0","Garrett Miller",
="19361","High N' Wicked The Wild Rover","0",".75L","100","Altamar Brands LLC","0","Nick Pourasef",
="19362","Jim Beam Orange PET","0","1.75L","52","Beam Suntory","0","Bill York",
="19363","Jim Beam Red Stag PET","219","1.75L","52","Beam Suntory","0","Bill York",
="19364","Jim Beam Vanilla PET","48","1.75L","52","Beam Suntory","0","Bill York",
="19365","Jim Beam Peach PET","32","1.75L","52","Beam Suntory","0","Bill York",
="19366","Jim Beam Honey PET","11","1.75L","52","Beam Suntory","0","Bill York",
="19367","Jim Beam Apple PET","510","1.75L","52","Beam Suntory","0","Bill York",
="19371","Clase Azul Plata","0",".75L","48","Tequilas Premium","0","Barry Sessoms",
="19372","Little Book Chapter 5 "The Invitation"","0",".75L","52","Beam Suntory","0","Bill York",
="19373","Maker's Mark Wood Finishing Series FAE 2","0",".75L","85","Beam Suntory","0","Bill York",
="19375","Glenmorangie Tale of Winter GB","0",".75L","110","Moet Hennessy","0","Garrett Miller",
="19378","Ciroc Pomegranate","384",".75L","60","Diageo NA","0","Garrett Miller",
="19388","Blackened X Willett","0",".75L","92","MHW/ Sweet Amber Ventures","0","Nick Pourasef",
="19389","Middle West Dark Pumpernickel Rye","0",".75L","80","Middle West Spirits","0","Jason Lemansky",
="19390","Don Julio 1942 Ultima Reserva","0",".75L","21","Diageo NA","0","Garrett Miller",
="19391","Don Julio Reposado Primavera","0",".75L","80","Diageo NA","0","Garrett Miller",
="19398","Foursquare 2009 Rum","0",".75L","80","Altamar Brands LLC","240","Nick Pourasef",
="19403","Magellan Gin Glass Pack","0",".75L","45","MHW/ Crillon Importers","0","Donavan Campbell",
="19404","Henri Bardouin (HB) Pastis Glass Pack","0",".75L","45","MHW/ Crillon Importers","0","Donavan Campbell",
="19406","Gin XII Glass Pack","1",".75L","45","MHW/ Crillon Importers","0","Donavan Campbell",
="19410","Amador D. B. Cabernet Barrel Finish","0",".75L","100","Trinchero Family Estates","300","Nick Pourasef",
="19411","Russell's Reserve 13Y","0",".75L","120","Campari America","360","Barry Sessoms",
="19420","Ciroc W/ 2 GLS","0",".75L","32","Diageo NA","0","Garrett Miller",
="19421","Smirnoff 80 w/ 50ML","0","1.75L","44","Diageo NA","132","Garrett Miller",
="19423","H Deringer Bourbon Whiskey VAP","0",".75L","42","Aiko Importers, Inc","0","Jeffrey A. Morse, Jr.",
